Country,GDP
USA,"17,419,000"
CHN,"10,354,832"
JPN,"4,601,461"
DEU,"3,868,291"
GBR,"2,988,893"
FRA,"2,829,192"
BRA,"2,346,076"
ITA,"2,141,161"
IND,"2,048,517"
RUS,"1,860,598"
CAN,"1,785,387"
AUS,"1,454,675"
KOR,"1,410,383"
ESP,"1,381,342"
MEX,"1,294,690"
IDN,"888,538"
NLD,"879,319"
TUR,"798,429"
SAU,"746,249"
CHE,"701,037"
SWE,"571,090"
NGA,"568,508"
POL,"544,967"
ARG,"537,660"
BEL,"531,547"
NOR,"499,817"
AUT,"436,888"
IRN,"425,326"
THA,"404,824"
ARE,"399,451"
VEN,"381,286"
COL,"377,740"
ZAF,"350,085"
DNK,"342,362"
MYS,"338,104"
SGP,"307,860"
ISR,"305,675"
HKG,"290,896"
EGY,"286,538"
PHL,"284,777"
FIN,"272,217"
CHL,"258,062"
IRL,"250,814"
PAK,"243,632"
GRC,"235,574"
PRT,"230,117"
IRQ,"223,508"
KAZ,"217,872"
DZA,"213,518"
QAT,"210,109"
CZE,"205,270"
PER,"202,596"
NZL,"199,970"
ROM,"199,044"
VNM,"186,205"
BGD,"172,887"
KWT,"163,612"
AGO,"138,357"
HUN,"138,347"
UKR,"131,805"
MAR,"110,009"
PRI,"103,135"
ECU,"100,917"
SVK,"100,249"
OMN,"81,797"
LKA,"78,824"
CUB,"77,150"
BLR,"76,139"
AZE,"75,198"
SDN,"73,815"
LUX,"64,874"
MMR,"64,330"
DOM,"64,138"
UZB,"62,644"
KEN,"60,937"
GTM,"58,827"
URY,"57,471"
HRV,"57,113"
BGR,"56,717"
ETH,"55,612"
MAC,"55,502"
CRI,"49,553"
SVN,"49,491"
TUN,"48,613"
LTU,"48,354"
TZA,"48,057"
TKM,"47,932"
PAN,"46,213"
LBN,"45,731"
SRB,"43,866"
LBY,"41,143"
GHA,"38,617"
YEM,"35,955"
JOR,"35,827"
CIV,"34,254"
BHR,"33,851"
ZAR,"33,121"
BOL,"32,996"
CMR,"32,051"
LVA,"31,287"
PRY,"30,881"
TTO,"28,883"
ZMB,"27,066"
UGA,"26,998"
EST,"26,485"
SLV,"25,164"
CYP,"23,226"
AFG,"20,038"
NPL,"19,770"
HND,"19,385"
BIH,"18,286"
GAB,"18,180"
BRN,"17,105"
ISL,"17,036"
PNG,"16,929"
KHM,"16,778"
GEO,"16,530"
MOZ,"15,938"
BWA,"15,813"
SEN,"15,658"
GNQ,"15,530"
ZWE,"14,197"
COG,"14,177"
TCD,"13,922"
JAM,"13,891"
SSD,"13,282"
ALB,"13,212"
NAM,"12,995"
WBG,"12,738"
MUS,"12,630"
BFA,"12,542"
MLI,"12,037"
MNG,"12,016"
LAO,"11,997"
NIC,"11,806"
ARM,"11,644"
MKD,"11,324"
MDG,"10,593"
MLT,"9,643"
BEN,"9,575"
TJK,"9,242"
HTI,"8,713"
BHS,"8,511"
NER,"8,169"
MDA,"7,962"
RWA,"7,890"
KGZ,"7,404"
KSV,"7,387"
GIN,"6,624"
SOM,"5,707"
BMU,"5,574"
LIE,"5,488"
SUR,"5,210"
MRT,"5,061"
SLE,"4,838"
MNE,"4,588"
FJI,"4,532"
TGO,"4,518"
SWZ,"4,413"
BRB,"4,355"
MWI,"4,258"
ADO,"3,249"
GUY,"3,097"
BDI,"3,094"
MDV,"3,062"
FRO,"2,613"
LSO,"2,181"
LBR,"2,013"
BTN,"1,959"
CPV,"1,871"
CAF,"1,723"
BLZ,"1,699"
DJI,"1,589"
SYC,"1,423"
TMP,"1,417"
LCA,"1,404"
ATG,"1,221"
SLB,"1,158"
GNB,"1,022"
GRD,912
GMB,904
KNA,852
VUT,815
WSM,800
VCT,729
COM,624
DMA,524
TON,434
STP,337
FSM,318
PLW,251
MHL,187
KIR,167
TUV,38
